snapped_at time utf	price	market_cap total_volume
2015-04-10 00:00:00 UTC	12.51341256	230590910	795288.5331
2015-04-11 00:00:00 UTC	10.12673444	186610399	817479.9628
2015-04-12 00:00:00 UTC	11.62020104	214131254.6	980866.8758
2015-04-13 00:00:00 UTC	13.03531957	241815606.3	910616.3911
2015-04-14 00:00:00 UTC	12.18521763	226503699.5	918796.9101
2015-04-15 00:00:00 UTC	11.63481234	216754808.7	62907.38561
2015-04-16 00:00:00 UTC	11.65486552	217607411.3	684598.7786
2015-04-17 00:00:00 UTC	11.49514736	215098346.9	1017126.542
2015-04-18 00:00:00 UTC	10.73128783	201225061	939668.5352
2015-04-19 00:00:00 UTC	10.89797498	204702657.9	585155.4161
2015-04-20 00:00:00 UTC	11.38682757	214306927	806390.5798
2015-04-21 00:00:00 UTC	12.36015592	233041469.7	895834.7281
2015-04-22 00:00:00 UTC	11.2273613	212084293.7	799293.0134
2015-04-23 00:00:00 UTC	11.26045153	213144019.8	915143.1428
2015-04-24 00:00:00 UTC	11.00128703	208678463.1	710170.1862
2015-04-25 00:00:00 UTC	10.9771161	208621738	766041.8288
2015-04-26 00:00:00 UTC	10.69640449	203685212.8	715503.6617
2015-04-27 00:00:00 UTC	10.89254042	207776842.4	669610.6624
2015-04-28 00:00:00 UTC	11.19734158	213941447.1	602071.7171
2015-04-29 00:00:00 UTC	11.01799246	210972519.6	474048.1015
2015-04-30 00:00:00 UTC	11.19346198	214749366.5	374303.3689
2015-05-01 00:00:00 UTC	8.658259608	166420840.8	974650.1263
2015-05-02 00:00:00 UTC	8.990092955	173117725	1150588.401
2015-05-03 00:00:00 UTC	8.428739519	162608085.7	514974.5551
2015-05-04 00:00:00 UTC	8.395518381	162224922.6	548326.4026
2015-05-05 00:00:00 UTC	9.564332293	185155908.9	749956.6301
2015-05-06 00:00:00 UTC	9.461269468	183175853.7	743074.2541
2015-05-07 00:00:00 UTC	9.06417233	175487814.8	627911.1116
2015-05-08 00:00:00 UTC	9.056549173	175340225.9	601136.6971
2015-05-09 00:00:00 UTC	8.692263479	168287436.3	545998.5409
2015-05-10 00:00:00 UTC	8.6597275	167657520.2	497629.2775
2015-05-11 00:00:00 UTC	8.898101083	172272575.8	444612.6298
2015-05-12 00:00:00 UTC	9.043291922	175083557.6	412182.4981
2015-05-13 00:00:00 UTC	8.848290028	171308203.9	544183.0539
